Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P36|P36S1|P6007|P6007S1|P543|P544S1|P544S2|P544S3|P544S4|P544S5|P544S6|P544S7|P544S8|P544S9|P545|P546|P547
3453617|1|1|1|1471.6340321|34536171|2||2||1|1|2|2|2|2|2|2|2||1||900000
3453618|1|1|1|1483.4570825|34536181|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3453619|1|1|1|1480.1521219|34536191|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453620|1|1|1|1608.1317993|34536201|2||2||1|1|2|2|2|2|2|2|2||1||3500000
3453621|1|1|1|1060.8269441|34536211|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3453622|1|1|1|1397.7633033|34536221|2||2||2|1|2|2|2|2|2|2|2||1||2600000
3453623|1|1|1|1269.2717065|34536231|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3453624|1|1|1|1243.2230087|34536241|2||2||1|1|2|2|2|2|2|2|2||1||900000
3453625|1|1|1|1406.827642|34536251|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3453626|1|1|1|1397.7633033|34536261|2||2||1|1|2|2|2|2|2|2|2||1||1800000
3453627|1|1|1|1562.5409404|34536271|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3453628|1|1|1|979.6131559|34536281|2||2||1|1|1|2|2|2|2|2|2||1||1000000
3453629|1|1|1|1416.192386|34536291|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453630|1|1|1|1203.8435682|34536301|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453631|1|1|1|1021.0879287|34536311|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453632|1|1|1|1049.4127279|34536321|2||2||1|1|2|2|2|2|2|2|2||1||900000
3453633|1|1|1|1494.3342439|34536331|2||2||1|1|2|2|2|2|2|2|2||1||900000
3453634|1|1|1|1047.7889938|34536341|2||2||1|1|2|2|2|2|2|2|1||1||1000000
3453635|1|1|1|873.11194785|34536351|2||2||1|1|2|2|2|2|2|2|1||1||900000
3453636|1|1|1|994.80997154|34536361|2||2||1|1|2|2|2|2|2|2|2||1||1800000
3453637|1|1|1|1687.5821308|34536371|2||2||1|1|2|2|2|2|2|2|2||1||2700000
3453638|1|1|1|681.75860827|34536381|2||2||2|1|2|2|2|2|2|2|2||1||1100000
3453639|1|1|1|1852.9923553|34536391|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453640|1|1|1|1456.1147764|34536401|2||2||1|1|1|2|2|2|2|2|2||1||1500000
3453641|1|1|1|1715.8906975|34536411|2||2||2|1|1|2|2|2|2|2|2||1||1400000
3453642|1|1|1|1491.4256721|34536421|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3453643|1|1|1|1419.4817389|34536431|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453644|1|1|1|1583.3402601|34536441|2||2||1|1|2|2|2|2|2|2|1||8||1000000
3453645|1|1|1|1687.6432135|34536451|2||2||1|1|2|2|2|2|2|2|2||1||1200000
3453646|1|1|1|1378.6220999|34536461|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453647|1|1|1|2211.2945181|34536471|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453648|1|1|1|1468.5520164|34536481|2||2||1|1|2|2|2|2|2|2|2||1||1800000
3453649|1|1|1|2135.143253|34536491|2||2||1|1|1|2|2|2|2|2|2||1||1500000
3453650|1|1|1|1436.7391218|34536501|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453651|1|1|1|2823.1859479|34536511|2||2||2|1|2|2|2|2|2|2|2||1||1300000
3453652|1|1|1|1435.9048997|34536521|2||2||1|2|2|2|2|2|2|2|1||8||900000
3453653|1|1|1|1562.3248972|34536531|2||2||1|1|2|2|2|2|2|2|2||1||1800000
3453654|1|1|1|1851.8318811|34536541|2||1|1|1|2|2|2|2|2|2|2|1||8||2600000
3453655|1|1|1|1595.7904691|34536551|2||2||1|1|2|1|2|2|2|2|2||3||2000000
3453656|1|1|1|1614.7064408|34536561|2||1|1|1|1|2|2|2|2|2|2|1||8||1500000
3453657|1|1|1|1864.2820901|34536571|2||2||1|1|2|2|1|2|2|2|2||1||3200000
3453658|1|1|1|1930.0304582|34536581|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3453659|1|1|1|2407.2114601|34536591|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3453660|1|1|1|2101.4075304|34536601|2||2||1|1|2|2|2|2|2|2|2||1||3500000
3453661|1|1|1|1739.609438|34536611|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3453662|1|1|1|6375.7534671|34536621|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453663|1|1|1|5112.5998246|34536631|2||2||1|2|2|2|2|2|2|1|2||7||300000
3453664|1|1|1|5999.7050676|34536641|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453665|1|1|1|2855.1843163|34536651|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453666|1|1|1|9358.664163|34536661|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453667|1|1|1|7270.3161637|34536671|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453668|1|1|1|5499.4863621|34536681|2||2||1|1|1|2|2|2|2|2|2||1||760000
3453669|1|1|1|5269.4547136|34536691|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453670|1|1|1|4568.4306628|34536701|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453671|1|1|1|4557.5925248|34536711|2||2||1|1|2|2|2|2|2|2|2||1||300000
3453672|1|1|1|4568.4306628|34536721|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3453673|1|1|1|3692.1635578|34536731|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3453674|1|1|1|7098.2551183|34536741|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3453675|1|1|1|6746.8686814|34536751|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3453676|1|1|1|4809.2502831|34536761|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3453677|1|1|1|7744.4100327|34536771|2||2||1|1|2|2|1|2|2|2|2||1||8000000
3453678|1|1|1|7678.862637|34536781|2||2||1|1|2|2|2|2|2|2|2||1||8000000
3453679|1|1|1|5503.8959841|34536791|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3453680|1|1|1|7421.7382101|34536801|1|1|2||1|1|2|2|2|2|2|2|2||1||14000000
3453681|1|1|1|8066.7608659|34536811|2||2||1|1|2|2|2|2|2|2|2||1||4500000
3453682|1|1|1|4941.3897901|34536821|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3453683|1|1|1|5255.0913986|34536831|2||2||1|1|2|1|2|2|2|2|2||1||5500000
3453684|1|1|1|7630.2045811|34536841|2||2||1|2|2|1|2|2|2|2|2||3||1300000
3453685|1|1|1|4764.2509411|34536851|2||2||1|1|2|2|2|2|2|2|2||1||5200000
3453686|1|1|1|5967.4975063|34536861|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3453687|1|1|1|4764.2509411|34536871|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3453688|1|1|1|6632.2645341|34536881|2||2||1|1|2|2|2|2|2|2|1||8||1300000
3453689|1|1|1|8201.1514261|34536891|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3453690|1|1|1|5340.3836217|34536901|2||2||1|1|2|2|1|2|2|2|2||1||1000000
3453691|1|1|1|5979.5356094|34536911|2||2||1|1|2|2|2|2|2|2|2||1||400000
3453692|1|1|1|8658.6588861|34536921|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453693|1|1|1|6112.0930535|34536931|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453694|1|1|1|8084.0771394|34536941|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3453695|1|1|1|8658.6588861|34536951|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3453696|1|1|1|6474.7723492|34536961|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3453697|1|1|1|4278.7702507|34536971|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453698|1|1|1|7772.6073711|34536981|2||2||1|1|2|2|2|2|2|2|2||1||1900000
3453699|1|1|1|5489.3177064|34536991|2||2||1|2|2|1|2|2|2|2|1||3||98
3453700|1|1|1|5204.0710937|34537001|2||2||1|1|2|1|2|2|2|2|2||3||1300000
3453701|1|1|1|7416.0390531|34537011|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3453702|1|1|1|6441.7885989|34537021|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453703|1|1|1|4893.4151319|34537031|2||2||1|2|2|2|2|2|2|2|2|2||1000000|
3453704|1|1|1|8596.8912124|34537041|2||2||1|1|2|2|2|2|2|2|2||1||200000
3453705|1|1|1|7213.3115729|34537051|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453706|1|1|1|7196.1987234|34537061|2||2||1|2|1|2|2|2|2|2|2||2||130000
3453707|1|1|1|12973.7782|34537071|2||2||1|1|2|2|2|2|2|2|2||1||3000000
3453708|1|1|1|5486.7779078|34537081|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3453709|1|1|1|9473.2185278|34537091|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453710|1|1|1|9545.2032501|34537101|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453711|1|1|1|7196.1987234|34537111|2||2||1|1|2|2|2|2|2|2|2||1||680000
3453712|1|1|1|6922.399194|34537121|2||2||1|1|2|2|2|2|2|2|2||1||98
3453713|1|1|1|5933.5406015|34537131|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453714|1|1|1|5282.1021482|34537141|2||2||1|2|2|1|2|2|2|2|2||3||1300000
