Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|area|P5747|P8520S1|P8520S1A1|P8520S2|P8520S3|P8520S4|P8520S5
3453756|1|1|1|7798.5865587|11|2|1|5|1|1|1|1
3453757|1|1|1|6480.934269|11|2|1|5|1|1|1|1
3453758|1|1|1|5070.993321|11|2|1|5|1|1|1|1
3453759|1|1|1|6659.718965|11|2|1|5|1|1|1|1
3453760|1|1|1|5058.9629041|11|2|1|4|1|1|1|1
3453761|1|1|1|3484.475809|11|2|1|5|1|1|1|1
3453762|1|1|1|7749.6249972|11|2|1|3|1|1|1|1
3453763|1|1|1|8253.0155639|11|2|1|3|1|1|1|1
3453764|1|1|1|8497.9598055|11|2|1|3|1|1|1|1
3453765|1|1|1|12348.505165|11|1|1|3|1|1|1|1
3453766|1|1|1|5596.542656|11|2|1|3|1|1|1|1
3453767|1|1|1|7408.2333209|11|1|1|3|1|1|1|1
3453768|1|1|1|6924.7791099|11|2|1|3|2|1|1|1
3453769|1|1|1|7436.8174682|11|2|1|3|1|1|1|1
3453770|1|1|1|7789.9569886|11|1|1|3|1|1|1|1
3453771|1|1|1|7902.459217|11|1|1|3|1|1|1|1
3453772|1|1|1|6847.3029484|11|2|1|3|1|1|1|1
3453773|1|1|1|3273.1641575|11|2|1|3|1|1|1|1
3453774|1|1|1|8164.5035411|11|2|1|3|1|1|1|1
3453775|1|1|1|7066.2134575|11|2|1|3|1|1|1|1
3453776|1|1|1|5655.9342531|11|1|1|2|1|1|1|1
3453777|1|1|1|4051.1933554|11|1|1|2|1|1|1|1
3453778|1|1|1|5646.3003527|11|1|1|2|1|1|1|1
3453779|1|1|1|6139.6401747|11|1|1|2|1|1|1|1
3453780|1|1|1|3815.0414756|11|1|1|2|1|1|1|1
3453781|1|1|1|3883.6614879|11|2|1|2|1|1|1|1
3453782|1|1|1|5968.805333|11|2|1|2|1|1|1|1
3453783|1|1|1|6281.0239635|11|1|1|2|1|1|1|1
3453785|1|1|1|6692.0262887|11|2|1|2|1|1|1|1
3453786|1|1|1|4072.2294179|11|1|1|3|1|1|1|1
3453787|1|1|1|448.63418217|13|2|1|6|1|1|1|1
3453788|1|1|1|374.40223387|13|2|1|6|1|1|1|1
3453789|1|1|1|379.09542956|13|2|1|6|1|1|1|1
3453790|1|1|1|374.40223387|13|2|1|5|1|1|1|1
3453791|1|1|1|693.1300538|13|1|1|1|1|2|1|1
3453792|1|1|1|571.71744464|13|1|1|1|1|2|1|1
3453793|1|1|1|571.71744464|13|2|1|1|1|2|1|1
3453794|1|1|1|649.94396412|13|1|1|1|1|2|1|1
3453795|1|1|1|513.42393398|13|1|1|1|1|2|1|1
3453796|1|1|1|446.05856399|13|2|1|1|1|2|1|1
3453797|1|1|1|649.94396412|13|2|1|1|1|2|1|1
3453798|1|1|1|405.15031185|13|2|1|1|1|2|1|2
3453799|1|1|1|917.31744453|13|1|1|1|1|2|1|1
3453800|1|1|1|857.78798965|13|2|1|1|1|2|1|1
3453801|1|1|1|505.38181291|13|2|1|1|1|2|1|1
3453802|1|1|1|445.83127861|13|1|1|1|1|2|1|1
3453803|1|1|1|849.33941624|13|2|1|1|1|2|1|1
3453804|1|1|1|655.45883744|13|2|1|1|1|2|1|1
3453805|1|1|1|751.18224795|13|2|1|1|1|2|1|1
3453806|1|1|1|820.98164584|13|1|1|1|1|2|1|1
3453807|1|1|1|794.63668644|13|2|1|1|1|2|1|1
3453808|1|1|1|421.63432074|13|1|1|1|1|2|1|1
3453809|1|1|1|531.28467692|13|2|1|1|1|2|1|1
3453810|1|1|1|747.56039962|13|2|1|1|1|2|1|1
3453811|1|1|1|747.96179078|13|1|1|1|1|2|1|1
3453812|1|1|1|365.38166246|13|2|1|2|1|1|1|1
3453813|1|1|1|365.38166246|13|2|1|2|1|1|1|1
3453814|1|1|1|543.99676813|13|1|1|2|1|1|1|1
3453815|1|1|1|667.00339316|13|1|1|2|1|1|1|1
3453816|1|1|1|543.99676813|13|1|1|2|1|1|1|1
3453817|1|1|1|819.105335|13|1|1|2|1|1|1|1
3453818|1|1|1|582.79668067|13|1|1|2|1|1|1|1
3453819|1|1|1|591.75235156|13|2|1|2|1|1|1|1
3453820|1|1|1|862.56969187|13|2|1|2|1|1|1|1
3453821|1|1|1|812.42995516|13|1|1|2|1|1|1|1
3453822|1|1|1|604.22103916|13|2|1|2|1|1|1|1
3453823|1|1|1|842.61029736|13|1|1|2|1|1|1|1
3453825|1|1|1|833.81055545|13|1|1|2|1|1|1|1
3453826|1|1|1|755.98680061|13|1|1|2|1|1|1|1
3453827|1|1|1|862.88154985|13|2|1|2|1|1|1|1
3453828|1|1|1|680.57983002|13|2|1|2|1|1|1|1
3453829|1|1|1|1099.7832|13|2|1|2|1|1|1|1
3453830|1|1|1|862.56969187|13|2|1|2|1|1|1|1
3453831|1|1|1|459.79005563|13|2|1|2|1|1|1|1
3453832|1|1|1|739.56306683|13|2|1|2|1|1|1|1
3453833|1|1|1|581.09958189|13|2|1|2|1|1|1|1
3453834|1|1|1|614.14831214|13|1|1|2|1|2|1|1
3453835|1|1|1|572.62405624|13|2|1|2|1|2|1|1
3453836|1|1|1|424.83891528|13|1|1|2|1|2|1|1
3453837|1|1|1|551.92337784|13|2|1|2|1|2|1|1
3453838|1|1|1|472.92913752|13|2|1|2|1|2|1|1
3453839|1|1|1|566.69580906|13|1|1|2|1|2|1|1
3453840|1|1|1|543.34280529|13|2|1|2|1|2|1|1
3453841|1|1|1|439.12130938|13|1|1|2|1|2|1|1
3453842|1|1|1|498.69496925|13|2|1|2|1|1|1|1
3453843|1|1|1|428.57522222|13|1|1|2|1|1|1|1
3453844|1|1|1|557.86856921|13|2|1|2|1|1|1|1
3453845|1|1|1|586.25536564|13|2|1|2|1|1|1|1
3453846|1|1|1|437.59302947|13|2|1|2|1|1|1|1
3453847|1|1|1|614.91541371|13|2|1|2|1|1|1|1
3453848|1|1|1|353.02140904|13|2|1|2|1|1|1|1
3453849|1|1|1|505.51255676|13|2|1|2|1|1|1|1
3453850|1|1|1|467.33148328|13|2|1|2|1|1|1|1
