Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P1992|P1993S1|P1993S1A1|P1994|P1994S1|P1995|P1995S1|P1996S1|P1996S1A1|P1996S2|P1996S2A1|P1996S3|P1996S3A1|P1996S4|P1996S4A1|P1996S5|P1996S5A1|P1996S7|P1996S7A1|P1996S8|P1996S8A1|P1996S10|P1996S10A1|P1997|P1998
3453554|2|1|1|1456.6427378|34535542|2||||||||||||||||||||||||4
3453555|1|1|1|1280.4466546|34535551|1|23|23001|4||2024-06-01|2024-06-03|2||1|2|2||2||2||2||2||2||4|
3453555|1|2|2|1280.4466546|34535551|1|23|23001|4||2024-06-01|2024-06-03|2||1|2|2||2||2||2||2||2||4|
3453555|1|3|3|1280.4466546|34535551|2||||||||||||||||||||||||4
3453556|1|2|2|849.75834617|34535561|2||||||||||||||||||||||||2
3453556|1|3|3|849.75834617|34535561|2||||||||||||||||||||||||1
3453556|1|1|1|849.75834617|34535561|2||||||||||||||||||||||||2
3453557|1|1|1|1803.0487048|34535571|2||||||||||||||||||||||||3
3453557|1|2|2|1803.0487048|34535571|2||||||||||||||||||||||||4
3453557|1|3|3|1803.0487048|34535571|2||||||||||||||||||||||||1
3453557|1|4|4|1803.0487048|34535571|2||||||||||||||||||||||||2
3453557|1|5|5|1803.0487048|34535571|2||||||||||||||||||||||||2
3453558|1|1|1|1859.3451537|34535581|2||||||||||||||||||||||||2
3453558|1|2|2|1859.3451537|34535581|2||||||||||||||||||||||||3
3453559|1|1|1|1700.4610629|34535591|2||||||||||||||||||||||||2
3453559|1|2|2|1700.4610629|34535591|2||||||||||||||||||||||||2
3453559|1|3|3|1700.4610629|34535591|2||||||||||||||||||||||||2
3453559|1|6|6|1700.4610629|34535591|2||||||||||||||||||||||||2
3453559|1|7|7|1700.4610629|34535591|2||||||||||||||||||||||||2
3453560|1|1|1|948.63548198|34535601|2||||||||||||||||||||||||2
3453560|1|2|2|948.63548198|34535601|1|23|23001|4||2024-06-27|2024-06-30|2||1|3|2||2||2||2||2||2||3|
3453560|1|3|3|948.63548198|34535601|2||||||||||||||||||||||||2
3453560|1|4|4|948.63548198|34535601|2||||||||||||||||||||||||1
3453561|1|1|1|1569.9634969|34535611|2||||||||||||||||||||||||2
3453561|1|2|2|1569.9634969|34535611|2||||||||||||||||||||||||2
3453561|1|3|3|1569.9634969|34535611|2||||||||||||||||||||||||2
3453562|1|1|1|754.03303852|34535621|2||||||||||||||||||||||||2
3453562|1|2|2|754.03303852|34535621|2||||||||||||||||||||||||2
3453562|1|3|3|754.03303852|34535621|2||||||||||||||||||||||||2
3453562|1|4|4|754.03303852|34535621|2||||||||||||||||||||||||2
3453562|1|5|5|754.03303852|34535621|2||||||||||||||||||||||||2
3453563|1|1|1|886.1969322|34535631|2||||||||||||||||||||||||2
3453563|1|2|2|886.1969322|34535631|2||||||||||||||||||||||||1
3453563|1|3|3|886.1969322|34535631|2||||||||||||||||||||||||1
3453564|1|1|1|1367.3771446|34535641|2||||||||||||||||||||||||2
3453564|1|2|2|1367.3771446|34535641|2||||||||||||||||||||||||1
3453565|1|1|1|2200.6915327|34535651|2||||||||||||||||||||||||2
3453565|1|2|2|2200.6915327|34535651|2||||||||||||||||||||||||2
3453565|1|3|3|2200.6915327|34535651|2||||||||||||||||||||||||2
3453565|1|4|4|2200.6915327|34535651|2||||||||||||||||||||||||2
3453565|1|5|5|2200.6915327|34535651|2||||||||||||||||||||||||1
3453566|1|1|1|944.44111853|34535661|2||||||||||||||||||||||||2
3453566|1|2|2|944.44111853|34535661|2||||||||||||||||||||||||2
3453567|1|1|1|696.96704048|34535671|2||||||||||||||||||||||||2
3453567|1|2|2|696.96704048|34535671|2||||||||||||||||||||||||2
3453567|2|1|1|696.96704048|34535672|2||||||||||||||||||||||||2
3453568|1|1|1|893.89502043|34535681|2||||||||||||||||||||||||2
3453568|1|2|2|893.89502043|34535681|2||||||||||||||||||||||||2
3453569|1|1|1|824.51601842|34535691|2||||||||||||||||||||||||2
3453569|1|2|2|824.51601842|34535691|2||||||||||||||||||||||||2
3453569|1|3|3|824.51601842|34535691|2||||||||||||||||||||||||2
3453569|1|4|4|824.51601842|34535691|2||||||||||||||||||||||||1
3453570|1|1|1|1053.179426|34535701|2||||||||||||||||||||||||1
3453571|1|1|1|1937.0399122|34535711|2||||||||||||||||||||||||4
3453571|1|2|2|1937.0399122|34535711|2||||||||||||||||||||||||4
3453571|1|3|3|1937.0399122|34535711|2||||||||||||||||||||||||2
3453571|1|4|4|1937.0399122|34535711|2||||||||||||||||||||||||4
3453572|1|1|1|1698.8707135|34535721|2||||||||||||||||||||||||4
3453572|1|2|2|1698.8707135|34535721|2||||||||||||||||||||||||4
3453572|1|3|3|1698.8707135|34535721|2||||||||||||||||||||||||2
3453573|1|1|1|1185.8020204|34535731|2||||||||||||||||||||||||1
3453574|1|1|1|946.72075075|34535741|2||||||||||||||||||||||||2
3453574|1|2|2|946.72075075|34535741|2||||||||||||||||||||||||2
3453574|1|3|3|946.72075075|34535741|2||||||||||||||||||||||||2
3453575|1|1|1|1884.1112618|34535751|2||||||||||||||||||||||||2
3453575|1|2|2|1884.1112618|34535751|2||||||||||||||||||||||||2
3453575|1|3|3|1884.1112618|34535751|2||||||||||||||||||||||||2
3453576|1|1|1|1600.1639683|34535761|2||||||||||||||||||||||||1
3453576|1|2|2|1600.1639683|34535761|2||||||||||||||||||||||||1
3453576|1|3|3|1600.1639683|34535761|2||||||||||||||||||||||||1
3453576|1|4|4|1600.1639683|34535761|2||||||||||||||||||||||||1
3453577|1|1|1|1006.4595786|34535771|2||||||||||||||||||||||||1
3453577|1|2|2|1006.4595786|34535771|2||||||||||||||||||||||||1
3453578|1|1|1|1644.6417057|34535781|2||||||||||||||||||||||||2
3453578|1|2|2|1644.6417057|34535781|2||||||||||||||||||||||||2
3453579|1|1|1|923.20858215|34535791|2||||||||||||||||||||||||2
3453579|1|2|2|923.20858215|34535791|2||||||||||||||||||||||||2
3453579|1|3|3|923.20858215|34535791|2||||||||||||||||||||||||2
3453579|1|4|4|923.20858215|34535791|2||||||||||||||||||||||||2
3453580|1|1|1|1422.9153875|34535801|2||||||||||||||||||||||||1
3453580|1|2|2|1422.9153875|34535801|2||||||||||||||||||||||||4
3453580|1|3|3|1422.9153875|34535801|2||||||||||||||||||||||||2
3453581|1|1|1|1185.8020204|34535811|2||||||||||||||||||||||||2
3453582|1|1|1|1138.4966176|34535821|2||||||||||||||||||||||||1
