Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P36|P36S1|P6007|P6007S1|P543|P544S1|P544S2|P544S3|P544S4|P544S5|P544S6|P544S7|P544S8|P544S9|P545|P546|P547
3410060|1|1|1|151.23994775|34100601|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3410061|1|1|1|157.97160156|34100611|2||2||1|1|2|2|2|2|2|2|2||1||98
3410062|1|1|1|151.23994775|34100621|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3410063|1|1|1|151.23994775|34100631|2||2||2|1|2|2|2|2|2|2|2||1||900000
3410064|1|1|1|196.48718308|34100641|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3410064|1|2|2|196.48718308|34100642|2||2||1|1|2|2|2|2|2|2|2||1||600000
3410065|1|1|1|151.23994775|34100651|2||2||1|1|2|2|2|2|2|2|2||1||3500000
3410066|1|1|1|173.8456088|34100661|2||2||1|1|2|2|1|2|2|2|2||1||1300000
3410067|1|1|1|127.64310929|34100671|2||2||1|1|2|2|2|2|2|2|2||1||600000
3410068|1|1|1|121.74318136|34100681|2||2||1|2|2|2|2|2|2|2|1||8||500000
3410068|1|2|2|121.74318136|34100682|2||2||2|1|2|2|2|2|2|2|2||1||700000
3410068|1|3|3|121.74318136|34100683|2||2||1|1|2|2|2|2|2|2|2||1||500000
3410070|1|1|1|107.54840729|34100701|2||2||1|1|2|2|2|2|2|2|2||1||900000
3410071|1|1|1|214.47477654|34100711|2||1|1|2|1|2|2|2|2|2|2|2||1||450000
3410071|1|2|2|214.47477654|34100712|2||2||1|1|2|2|2|2|2|2|2||1||700000
3410072|1|1|1|365.14759098|34100721|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3410073|1|1|1|107.54840729|34100731|2||2||1|1|2|2|2|2|2|2|2||1||800000
3410074|1|1|1|248.64072554|34100741|2||1|3|1|2|2|2|2|2|2|2|1||8||1000000
3410075|1|1|1|62.160181386|34100751|2||2||1|1|1|2|2|2|2|2|2||1||800000
3410076|1|1|1|161.24026521|34100761|2||2||1|1|2|2|2|2|2|2|2||1||700000
3410077|1|1|1|69.447943395|34100771|2||2||1|2|2|2|2|2|2|2|1||8||1200000
3410078|1|1|1|62.160181386|34100781|2||2||1|2|2|2|2|2|2|2|2|2||1200000|
3410079|1|1|1|164.66687981|34100791|2||2||1|2|2|2|2|2|2|2|1||8||500000
3410080|1|1|1|62.160181386|34100801|2||2||1|2|2|2|2|2|2|2|1||8||1000000
3410081|1|1|1|62.160181386|34100811|2||2||1|2|2|2|2|2|2|2|1||8||800000
