Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P6160|P6170|P6175|P6210|P6210S1|P6220
3409762|1|3|3|118.98120993|34097621|1|1|1|5|10|1
3409762|1|4|4|118.98120993|34097621|1|1|1|3|02|
3409763|1|1|1|124.70234286|34097631|1|2||3|03|
3409764|1|1|1|139.82964037|34097641|1|2||4|06|
3409764|1|2|2|139.82964037|34097641|1|2||3|01|
3409765|1|1|1|135.32306452|34097651|1|2||4|06|
3409765|1|2|2|135.32306452|34097651|1|2||5|11|2
3409765|1|3|3|135.32306452|34097651|1|2||5|11|2
3409766|1|1|1|150.62744311|34097661|1|2||6|02|3
3409766|1|2|2|150.62744311|34097661|1|1|2|4|06|
3409767|1|1|1|188.87677034|34097671|1|2||6|01|3
3409767|1|2|2|188.87677034|34097671|1|2||6|03|3
3409767|1|3|3|188.87677034|34097671|1|1|2|3|03|
3409768|1|1|1|102.89250458|34097681|1|2||5|11|2
3409769|1|1|1|175.1510081|34097691|1|2||5|11|2
3409769|1|2|2|175.1510081|34097691|1|1|2|3|02|
3409769|1|3|3|175.1510081|34097691|1|1|2|6|01|3
3409770|1|1|1|99.330276146|34097701|1|2||4|06|
3409771|1|1|1|175.34504071|34097711|1|2||5|11|2
3409771|1|2|2|175.34504071|34097711|1|1|2|6|02|3
3409771|1|3|3|175.34504071|34097711|1|1|2|6|00|2
3409772|1|1|1|107.94063212|34097721|1|2||6|08|4
3409772|1|2|2|107.94063212|34097721|1|2||5|11|2
3409772|1|3|3|107.94063212|34097721|1|2||6|01|2
3409772|1|4|4|107.94063212|34097721|1|1|1|4|00|
3409772|1|5|5|107.94063212|34097721|1|1|2|6|06|4
3409773|1|1|1|153.50224235|34097731|1|2||3|04|
3409773|1|2|2|153.50224235|34097731|1|1|1|6|03|2
3409773|1|3|3|153.50224235|34097731|1|2||5|11|2
3409774|1|1|1|153.50224235|34097741|1|2||5|11|2
3409774|1|2|2|153.50224235|34097741|1|2||5|11|2
3409774|1|3|3|153.50224235|34097741|1|1|1|4|09|
3409775|1|1|1|144.45864343|34097751|1|2||6|05|4
3409775|1|2|2|144.45864343|34097751|1|1|1|3|04|
3409775|1|3|3|144.45864343|34097751|1|2||5|11|2
3409775|1|4|4|144.45864343|34097751|1|2||3|03|
3409775|1|5|5|144.45864343|34097751|1|1|2|4|06|
3409776|1|1|1|113.78844035|34097761|1|2||3|05|
3409776|1|2|2|113.78844035|34097761|1|2||6|11|4
3409777|1|1|1|180.02271665|34097771|1|2||5|11|2
3409777|1|2|2|180.02271665|34097771|1|1|1|4|09|
3409777|1|3|3|180.02271665|34097771|1|1|1|3|02|
3409777|1|4|4|180.02271665|34097771|1|1|1|3|00|
3409778|1|1|1|68.245636585|34097781|1|2||3|03|
3409778|1|2|2|68.245636585|34097781|1|2||3|05|
3409779|1|1|1|50.368769936|34097791|1|2||4|07|
3409779|1|2|2|50.368769936|34097791|1|2||6|03|3
3409779|1|3|3|50.368769936|34097791|1|1|2|4|09|
3409779|1|4|4|50.368769936|34097791|1|1|1|3|04|
3409780|1|1|1|68.245636585|34097801|1|2||6|04|2
3409780|1|2|2|68.245636585|34097801|1|2||6|02|3
3409781|1|1|1|72.607553894|34097811|1|2||5|11|2
3409781|1|2|2|72.607553894|34097811|1|2||5|11|2
3409781|1|3|3|72.607553894|34097811|1|1|1|6|03|2
3409782|1|1|1|86.460291053|34097821|1|2||6|05|4
3409783|1|1|1|68.245636585|34097831|1|2||4|08|
3409783|1|2|2|68.245636585|34097831|1|2||3|05|
3409784|1|1|1|100.07310991|34097841|1|2||6|06|5
3409785|1|1|1|128.29885886|34097851|1|2||6|02|3
3409786|1|1|1|107.54559085|34097861|1|2||6|09|5
3409786|1|2|2|107.54559085|34097861|1|2||6|09|5
3409786|1|3|3|107.54559085|34097861|1|1|2|3|05|
3409786|1|4|4|107.54559085|34097861|1|1|2|2|00|
3409787|1|1|1|158.73905184|34097871|1|2||5|11|2
3409787|1|2|2|158.73905184|34097871|1|2||3|05|
3409787|1|3|3|158.73905184|34097871|1|2||6|07|4
3409787|1|4|4|158.73905184|34097871|1|2||6|07|5
3409787|1|5|5|158.73905184|34097871|1|1|2|3|01|
3409788|1|1|1|88.293578796|34097881|1|2||5|11|2
3409789|1|1|1|127.73128669|34097891|1|2||6|07|4
3409789|1|2|2|127.73128669|34097891|1|2||6|06|4
3409789|1|3|3|127.73128669|34097891|1|1|2|3|02|
3409790|1|1|1|88.293578796|34097901|1|2||6|05|4
3409791|1|1|1|759.34733388|34097911|1|2||6|02|3
3409791|1|2|2|759.34733388|34097911|1|2||6|02|3
3409792|1|1|1|378.69635356|34097921|1|2||6|05|4
3409792|1|2|2|378.69635356|34097921|1|2||5|11|2
3409793|1|1|1|759.34733388|34097931|1|2||6|06|5
3409793|1|2|2|759.34733388|34097931|1|2||6|05|4
3409794|1|1|1|397.46866161|34097941|1|2||4|09|
3409794|1|2|2|397.46866161|34097941|1|1|1|4|07|
3409796|1|1|1|189.83683347|34097961|1|2||4|06|
3409797|1|1|1|522.23351172|34097971|1|2||6|07|5
3409797|1|2|2|522.23351172|34097971|1|2||6|02|3
3409797|1|3|3|522.23351172|34097971|1|2||6|07|4
3409798|1|1|1|245.37704664|34097981|1|2||3|03|
3409798|1|2|2|245.37704664|34097981|1|2||6|08|4
3409799|1|1|1|267.72551807|34097991|1|2||5|11|2
3409799|1|2|2|267.72551807|34097991|1|2||5|11|2
3409800|1|1|1|700.9360005|34098001|1|2||5|11|2
