Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|area|P5747|P8520S1|P8520S1A1|P8520S2|P8520S3|P8520S4|P8520S5
3469823|1|1|1|345.98889831|17|2|1|3|1|1|1|1
3469824|1|1|1|470.03659892|17|2|1|3|1|1|1|1
3469825|1|1|1|358.19028765|17|2|1|3|1|1|1|1
3469826|1|1|1|598.47603354|17|2|1|3|1|1|1|1
3469827|1|1|1|482.23798825|17|2|1|3|1|1|1|1
3469828|1|1|1|410.47582644|17|2|1|3|1|1|1|1
3469829|1|1|1|406.59863863|17|2|1|3|1|1|1|1
3469830|1|1|1|358.19028765|17|2|1|3|1|1|1|1
3469831|1|1|1|535.87853606|17|2|1|3|1|1|1|1
3469832|1|1|1|543.98322646|17|1|1|3|1|1|1|1
3469833|1|1|1|417.91100001|17|2|1|3|1|1|1|1
3469834|1|1|1|884.48491328|17|2|1|3|1|1|1|1
3469835|1|1|1|567.74499428|17|1|1|3|1|1|1|1
3469836|1|1|1|462.67500821|17|2|1|3|1|1|1|1
3469837|1|1|1|417.91100001|17|2|1|3|2|1|1|1
3469838|1|1|1|759.26392778|17|2|1|3|1|1|1|1
3469839|1|1|1|375.99535764|17|2|1|3|1|1|1|1
3469840|1|1|1|739.40084432|17|2|1|3|2|1|1|1
3469841|1|1|1|371.31220324|17|1|1|3|1|1|1|1
3469842|1|1|1|517.85914783|17|2|1|1|1|1|1|1
3469843|1|1|1|648.78310125|17|2|1|1|1|1|1|1
3469844|1|1|1|546.16367625|17|2|1|1|1|1|1|1
3469845|1|1|1|447.83839054|17|2|1|1|1|1|1|1
3469846|1|1|1|286.77612024|17|2|1|1|1|1|1|1
3469847|1|1|1|291.64726002|17|1|1|1|1|1|1|1
3469848|1|1|1|341.64706811|17|2|1|1|1|1|1|1
3469849|1|1|1|674.60713725|17|2|1|1|1|1|1|1
3469850|1|1|1|589.81529821|17|2|1|1|1|1|1|1
